Year,Series,Sexua,Adina,Lurralde historikoa,Units,Value
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,76.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,78.4
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,75.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,80.3
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,74.5
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,75.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,64.3
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,75.8
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,75.2
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,66.4
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,76.2
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,82.3
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,77.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,%,68.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,69.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,73.2
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,80.9
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,78.1
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,82.3
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,81.7
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,81.9
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,80.7
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,78.6
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,78.4
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,77.1
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,80.3
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,79.9
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,%,83.8
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,71.1
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,73.4
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,79.2
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,74.4
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,75.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,79.7
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,75.0
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,77.7
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,80.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,80.3
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,79.4
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,77.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,73.9
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,%,81.1
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,11.7
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,22.7
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,21.7
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,21.8
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,20.2
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,20.3
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,19.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,18.1
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,17.2
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,12.1
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,19.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,22.6
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,18.1
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,%,12.5
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,11.7
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,19.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,22.5
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,18.0
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,23.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,10.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,10.5
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,19.9
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,17.1
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,17.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,22.2
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,21.5
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,22.3
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,%,23.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,20.9
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,10.6
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,11.6
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,20.5
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,18.9
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,16.9
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,22.0
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,18.3
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,18.9
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,20.1
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,20.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,12.5
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,21.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,%,23.0
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,19.5
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,18.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,13.7
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,13.4
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,17.1
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,22.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,17.2
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,19.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,21.6
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,22.1
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,19.7
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,24.1
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,19.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,%,13.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,7.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,3.1
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,2.5
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,11.0
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,11.8
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,9.5
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,10.0
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,12.5
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,9.6
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,8.8
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,3.1
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,8.4
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,13.9
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,%,11.3
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,10.0
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,12.0
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,12.1
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,14.9
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,12.3
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,8.2
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,2.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,1.9
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,14.5
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,10.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,9.8
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,14.6
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,8.4
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,%,2.3
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,2.7
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,11.6
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,2.4
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,10.4
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,8.4
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,13.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,9.0
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,10.0
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,9.9
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,11.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,12.5
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,10.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,8.0
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,%,1.7
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,10.5
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,4.2
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,7.9
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,4.6
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,12.8
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,9.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,15.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,7.4
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,8.7
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,10.3
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,10.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,7.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,3.7
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,%,8.9
2011,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,,18-64 urte,,%,46.2
2016,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,,18-64 urte,,%,48.1
2022,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,,18-64 urte,,%,52.9
2011,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Emakumea,18-64 urte,,%,49.9
2022,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Emakumea,18-64 urte,,%,54.8
2016,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Emakumea,18-64 urte,,%,48.0
2022,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Gizona,18-64 urte,,%,51.0
2016,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Gizona,18-64 urte,,%,48.1
2011,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Gizona,18-64 urte,,%,42.5
