Year,Series,Enfermedad no transmisible,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,57.8
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,52.3
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,285.4
2013,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,206.0
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,583.9
2019,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,226.5
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,619.1
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,46.9
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,601.9
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,605.0
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,564.5
2010,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,209.0
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,51.0
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,300.9
2021,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,229.8
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,614.1
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,587.6
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,294.9
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,61.8
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,286.1
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,289.9
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,278.7
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,268.2
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,620.9
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,278.1
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,607.0
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,289.4
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,620.5
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,298.2
2018,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.6
2016,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.0
2014,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,25.5
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,292.8
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,81.7
2010,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,24.9
2015,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,25.7
2012,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,24.2
2023,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.4
2017,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,218.5
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,563.5
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,594.9
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,292.8
2011,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,21.8
2020,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,25.2
2010,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,188.0
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,68.0
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,565.7
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,47.3
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,530.0
2010,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,28.8
2011,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,203.9
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,260.4
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,539.6
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,546.6
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,535.3
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,526.4
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,59.6
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,543.8
2019,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,209.8
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,71.3
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,554.0
2015,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,214.6
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,575.1
2011,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,26.7
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,274.3
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,264.5
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,250.5
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,566.4
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,274.6
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,65.0
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,528.7
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,572.4
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,259.8
2023,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,209.5
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,230.5
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,258.1
2017,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,16.7
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,253.0
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,264.7
2012,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,26.6
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,243.4
2022,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,23.7
2021,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,19.1
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,74.0
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,65.4
2018,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,22.4
2016,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,17.9
2013,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,27.7
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,257.9
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,55.6
2019,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,21.2
2015,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,22.6
2023,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,27.1
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,256.3
2020,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,21.7
2022,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,208.5
2014,Tasa de mortalidad,Diabetes,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,20.7
2020,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,201.6
2021,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,213.6
2016,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,200.2
2014,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,208.7
2013,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,196.9
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,553.8
2017,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,214.6
2018,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,216.9
2012,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,189.3
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,47.1
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,41.7
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,71.0
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,68.8
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,60.2
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,58.4
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,560.7
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,298.0
2015,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,20.2
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,699.3
2011,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,351.9
2023,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,19.9
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,260.1
2013,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,19.2
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,668.5
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,256.4
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,88.8
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,689.1
2020,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,340.3
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,62.6
2018,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,353.9
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,257.1
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,85.6
2012,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,355.1
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,238.7
2021,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,18.7
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,253.9
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,77.6
2011,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,19.5
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,89.9
2022,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,21.5
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,251.5
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,82.2
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,678.7
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,706.3
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,716.5
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,260.1
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,681.6
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,258.1
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,721.4
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,719.8
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,681.7
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,699.3
2014,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,17.6
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,90.1
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,702.9
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,85.2
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,66.0
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,251.8
2023,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,340.0
2017,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,353.3
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,75.1
2010,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,343.2
2013,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,348.9
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,249.9
2015,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Porcentaje,,14.0
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,714.0
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,243.3
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,77.9
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,260.7
2019,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Porcentaje,,12.8
2015,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,353.1
2019,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,18.4
2010,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,20.9
2020,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,22.3
2017,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,16.3
2014,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,354.9
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,67.0
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,67.2
2022,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,340.1
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Por 100.000 habitantes,,691.4
2010,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,,,,Porcentaje,,15.4
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,244.5
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,,,,Por 100.000 habitantes,,78.8
2019,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,343.8
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,,,Por 100.000 habitantes,,252.9
2021,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,336.3
2016,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,18.7
2016,Tasa de mortalidad,Cáncer,Hombre,,,,Por 100.000 habitantes,,352.1
2018,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,18.7
2012,Tasa de mortalidad,Diabetes,Hombre,,,,Por 100.000 habitantes,,19.1
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,79.2
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,70.0
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,595.0
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,92.1
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,85.7
2014,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,291.0
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,203.3
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,53.0
2018,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,319.7
2023,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,292.9
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,65.3
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,624.5
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,641.5
2020,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,271.8
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,86.4
2013,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,318.9
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,67.4
2021,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,300.1
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,630.8
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,622.7
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,559.6
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,212.8
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,579.0
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,76.3
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,77.2
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,200.9
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Hombre,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,636.3
