Year,Lanbidea,Sexua,Lurralde historikoa,Units,Value
2014,Farmazeutikoa,Gizona,,10.000 biztanleko,6.1
2018,Farmazeutikoa,Gizona,,10.000 biztanleko,6.6
2011,Farmazeutikoa,Gizona,,10.000 biztanleko,5.6
2023,Farmazeutikoa,Gizona,,10.000 biztanleko,6.7
2016,Farmazeutikoa,Gizona,,10.000 biztanleko,6.3
2015,Farmazeutikoa,Gizona,,10.000 biztanleko,6.1
2013,Farmazeutikoa,Gizona,,10.000 biztanleko,6.0
2017,Farmazeutikoa,Gizona,,10.000 biztanleko,6.3
2020,Farmazeutikoa,Gizona,,10.000 biztanleko,6.7
2022,Farmazeutikoa,Gizona,,10.000 biztanleko,6.7
2021,Farmazeutikoa,Gizona,,10.000 biztanleko,6.5
2010,Farmazeutikoa,Gizona,,10.000 biztanleko,5.6
2012,Farmazeutikoa,Gizona,,10.000 biztanleko,5.9
2020,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,7.4
2022,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.8
2023,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.8
2021,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,7.2
2019,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,7.4
2017,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,7.2
2018,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,7.4
2014,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.4
2011,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.0
2013,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.5
2012,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.4
2010,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.3
2015,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,6.9
2016,Farmazeutikoa,Gizona,Araba / Álava,10.000 biztanleko,7.4
2013,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.0
2010,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,5.5
2014,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.1
2016,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.4
2012,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,5.8
2018,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.6
2017,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.5
2015,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.3
2011,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,5.5
2022,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.7
2020,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.6
2023,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,7.0
2021,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.7
2019,Farmazeutikoa,Gizona,Bizkaia,10.000 biztanleko,6.5
2012,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.7
2013,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.7
2015,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.6
2011,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.4
2017,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.6
2016,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.8
2014,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.9
2010,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.3
2021,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,5.8
2023,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,6.3
2019,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,6.1
2022,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,6.6
2020,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,6.4
2018,Farmazeutikoa,Gizona,Gipuzkoa,10.000 biztanleko,6.2
