Year,Series,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2010,Employment rate,Female,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,58.2
2016,Employment rate,Female,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,60.0
2019,Employment rate,Female,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,62.8
2015,Employment rate,Female,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,57.1
2022,Employment rate,Female,,,,Villabuena de Álava/Eskuernaga,%,Villabuena de Álava/Eskuernaga,67.1
2016,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,64.5
2023,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,71.3
2020,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,68.9
2021,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,68.1
2019,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,68.1
2010,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,62.0
2015,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,65.4
2018,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,66.7
2022,Employment rate,Female,,,,Vitoria-Gasteiz,%,Vitoria-Gasteiz,70.3
2021,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,52.2
2020,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,45.3
2019,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,50.8
2016,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,54.3
2015,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,52.1
2023,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,63.9
2010,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,54.1
2018,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,54.5
2022,Employment rate,Female,,,,Yécora/Iekora,%,Yécora/Iekora,47.6
2022,Employment rate,Female,,,,Zaldibar,%,Zaldibar,70.9
2020,Employment rate,Female,,,,Zaldibar,%,Zaldibar,67.0
2015,Employment rate,Female,,,,Zaldibar,%,Zaldibar,59.9
2018,Employment rate,Female,,,,Zaldibar,%,Zaldibar,64.3
2019,Employment rate,Female,,,,Zaldibar,%,Zaldibar,65.9
2023,Employment rate,Female,,,,Zaldibar,%,Zaldibar,72.5
2016,Employment rate,Female,,,,Zaldibar,%,Zaldibar,59.7
2010,Employment rate,Female,,,,Zaldibar,%,Zaldibar,58.3
2021,Employment rate,Female,,,,Zaldibar,%,Zaldibar,65.4
2023,Employment rate,Female,,,,Zaldibia,%,Zaldibia,70.8
2020,Employment rate,Female,,,,Zaldibia,%,Zaldibia,68.8
2016,Employment rate,Female,,,,Zaldibia,%,Zaldibia,64.4
2021,Employment rate,Female,,,,Zaldibia,%,Zaldibia,65.7
2019,Employment rate,Female,,,,Zaldibia,%,Zaldibia,64.3
2010,Employment rate,Female,,,,Zaldibia,%,Zaldibia,62.8
2015,Employment rate,Female,,,,Zaldibia,%,Zaldibia,64.7
2018,Employment rate,Female,,,,Zaldibia,%,Zaldibia,65.7
2022,Employment rate,Female,,,,Zaldibia,%,Zaldibia,68.4
2019,Employment rate,Female,,,,Zalduondo,%,Zalduondo,75.9
2018,Employment rate,Female,,,,Zalduondo,%,Zalduondo,70.9
2015,Employment rate,Female,,,,Zalduondo,%,Zalduondo,74.2
2022,Employment rate,Female,,,,Zalduondo,%,Zalduondo,82.1
2010,Employment rate,Female,,,,Zalduondo,%,Zalduondo,67.2
2021,Employment rate,Female,,,,Zalduondo,%,Zalduondo,78.5
2023,Employment rate,Female,,,,Zalduondo,%,Zalduondo,85.9
2020,Employment rate,Female,,,,Zalduondo,%,Zalduondo,74.6
2016,Employment rate,Female,,,,Zalduondo,%,Zalduondo,71.9
2019,Employment rate,Female,,,,Zalla,%,Zalla,60.6
2022,Employment rate,Female,,,,Zalla,%,Zalla,65.3
2010,Employment rate,Female,,,,Zalla,%,Zalla,55.9
2015,Employment rate,Female,,,,Zalla,%,Zalla,55.7
2023,Employment rate,Female,,,,Zalla,%,Zalla,68.4
2021,Employment rate,Female,,,,Zalla,%,Zalla,62.1
2020,Employment rate,Female,,,,Zalla,%,Zalla,60.9
2016,Employment rate,Female,,,,Zalla,%,Zalla,55.1
2018,Employment rate,Female,,,,Zalla,%,Zalla,58.6
2010,Employment rate,Female,,,,Zambrana,%,Zambrana,55.9
2021,Employment rate,Female,,,,Zambrana,%,Zambrana,60.5
2018,Employment rate,Female,,,,Zambrana,%,Zambrana,44.0
2023,Employment rate,Female,,,,Zambrana,%,Zambrana,56.7
2019,Employment rate,Female,,,,Zambrana,%,Zambrana,53.1
2020,Employment rate,Female,,,,Zambrana,%,Zambrana,58.8
2022,Employment rate,Female,,,,Zambrana,%,Zambrana,65.3
2016,Employment rate,Female,,,,Zambrana,%,Zambrana,53.8
2015,Employment rate,Female,,,,Zambrana,%,Zambrana,50.8
2023,Employment rate,Female,,,,Zamudio,%,Zamudio,73.8
2018,Employment rate,Female,,,,Zamudio,%,Zamudio,68.3
2021,Employment rate,Female,,,,Zamudio,%,Zamudio,71.4
2019,Employment rate,Female,,,,Zamudio,%,Zamudio,71.2
2010,Employment rate,Female,,,,Zamudio,%,Zamudio,62.5
2016,Employment rate,Female,,,,Zamudio,%,Zamudio,67.0
2022,Employment rate,Female,,,,Zamudio,%,Zamudio,70.7
2020,Employment rate,Female,,,,Zamudio,%,Zamudio,71.7
2015,Employment rate,Female,,,,Zamudio,%,Zamudio,69.6
2023,Employment rate,Female,,,,Zaratamo,%,Zaratamo,70.9
2019,Employment rate,Female,,,,Zaratamo,%,Zaratamo,67.1
2021,Employment rate,Female,,,,Zaratamo,%,Zaratamo,67.6
2022,Employment rate,Female,,,,Zaratamo,%,Zaratamo,68.1
2010,Employment rate,Female,,,,Zaratamo,%,Zaratamo,60.3
2018,Employment rate,Female,,,,Zaratamo,%,Zaratamo,67.4
2015,Employment rate,Female,,,,Zaratamo,%,Zaratamo,64.3
2016,Employment rate,Female,,,,Zaratamo,%,Zaratamo,64.7
2020,Employment rate,Female,,,,Zaratamo,%,Zaratamo,65.4
2019,Employment rate,Female,,,,Zarautz,%,Zarautz,70.5
2023,Employment rate,Female,,,,Zarautz,%,Zarautz,76.4
2015,Employment rate,Female,,,,Zarautz,%,Zarautz,64.6
2022,Employment rate,Female,,,,Zarautz,%,Zarautz,74.7
2020,Employment rate,Female,,,,Zarautz,%,Zarautz,71.3
2010,Employment rate,Female,,,,Zarautz,%,Zarautz,61.5
2018,Employment rate,Female,,,,Zarautz,%,Zarautz,68.7
2016,Employment rate,Female,,,,Zarautz,%,Zarautz,64.5
2021,Employment rate,Female,,,,Zarautz,%,Zarautz,72.1
2015,Employment rate,Female,,,,Zeanuri,%,Zeanuri,74.4
2020,Employment rate,Female,,,,Zeanuri,%,Zeanuri,74.9
2016,Employment rate,Female,,,,Zeanuri,%,Zeanuri,78.1
2023,Employment rate,Female,,,,Zeanuri,%,Zeanuri,75.1
2019,Employment rate,Female,,,,Zeanuri,%,Zeanuri,74.7
2022,Employment rate,Female,,,,Zeanuri,%,Zeanuri,74.2
2021,Employment rate,Female,,,,Zeanuri,%,Zeanuri,71.4
2018,Employment rate,Female,,,,Zeanuri,%,Zeanuri,76.7
2010,Employment rate,Female,,,,Zeanuri,%,Zeanuri,69.3
2019,Employment rate,Female,,,,Zeberio,%,Zeberio,75.0
2010,Employment rate,Female,,,,Zeberio,%,Zeberio,72.8
2023,Employment rate,Female,,,,Zeberio,%,Zeberio,78.9
2016,Employment rate,Female,,,,Zeberio,%,Zeberio,74.7
2021,Employment rate,Female,,,,Zeberio,%,Zeberio,71.6
2020,Employment rate,Female,,,,Zeberio,%,Zeberio,73.2
2022,Employment rate,Female,,,,Zeberio,%,Zeberio,76.7
2018,Employment rate,Female,,,,Zeberio,%,Zeberio,73.2
2015,Employment rate,Female,,,,Zeberio,%,Zeberio,74.7
2019,Employment rate,Female,,,,Zegama,%,Zegama,72.6
2010,Employment rate,Female,,,,Zegama,%,Zegama,62.6
2016,Employment rate,Female,,,,Zegama,%,Zegama,63.7
2020,Employment rate,Female,,,,Zegama,%,Zegama,74.2
2015,Employment rate,Female,,,,Zegama,%,Zegama,66.5
2021,Employment rate,Female,,,,Zegama,%,Zegama,74.0
2023,Employment rate,Female,,,,Zegama,%,Zegama,77.1
2018,Employment rate,Female,,,,Zegama,%,Zegama,69.8
2022,Employment rate,Female,,,,Zegama,%,Zegama,73.9
2018,Employment rate,Female,,,,Zerain,%,Zerain,73.3
2022,Employment rate,Female,,,,Zerain,%,Zerain,87.0
2016,Employment rate,Female,,,,Zerain,%,Zerain,67.9
2020,Employment rate,Female,,,,Zerain,%,Zerain,72.6
2015,Employment rate,Female,,,,Zerain,%,Zerain,64.6
2023,Employment rate,Female,,,,Zerain,%,Zerain,80.8
2010,Employment rate,Female,,,,Zerain,%,Zerain,62.2
2021,Employment rate,Female,,,,Zerain,%,Zerain,74.0
2019,Employment rate,Female,,,,Zerain,%,Zerain,69.9
2022,Employment rate,Female,,,,Zestoa,%,Zestoa,72.4
2019,Employment rate,Female,,,,Zestoa,%,Zestoa,64.3
2021,Employment rate,Female,,,,Zestoa,%,Zestoa,68.2
2023,Employment rate,Female,,,,Zestoa,%,Zestoa,74.7
2015,Employment rate,Female,,,,Zestoa,%,Zestoa,61.8
2010,Employment rate,Female,,,,Zestoa,%,Zestoa,61.5
2020,Employment rate,Female,,,,Zestoa,%,Zestoa,66.9
2018,Employment rate,Female,,,,Zestoa,%,Zestoa,64.4
2016,Employment rate,Female,,,,Zestoa,%,Zestoa,62.3
2019,Employment rate,Female,,,,Zierbena,%,Zierbena,69.5
2021,Employment rate,Female,,,,Zierbena,%,Zierbena,70.3
2016,Employment rate,Female,,,,Zierbena,%,Zierbena,65.8
2023,Employment rate,Female,,,,Zierbena,%,Zierbena,80.6
2018,Employment rate,Female,,,,Zierbena,%,Zierbena,65.6
2015,Employment rate,Female,,,,Zierbena,%,Zierbena,63.6
2022,Employment rate,Female,,,,Zierbena,%,Zierbena,73.1
2020,Employment rate,Female,,,,Zierbena,%,Zierbena,71.6
2010,Employment rate,Female,,,,Zierbena,%,Zierbena,59.7
2018,Employment rate,Female,,,,Zigoitia,%,Zigoitia,72.2
2021,Employment rate,Female,,,,Zigoitia,%,Zigoitia,74.2
2020,Employment rate,Female,,,,Zigoitia,%,Zigoitia,73.6
2016,Employment rate,Female,,,,Zigoitia,%,Zigoitia,69.7
2023,Employment rate,Female,,,,Zigoitia,%,Zigoitia,76.1
2010,Employment rate,Female,,,,Zigoitia,%,Zigoitia,70.1
2015,Employment rate,Female,,,,Zigoitia,%,Zigoitia,73.4
2019,Employment rate,Female,,,,Zigoitia,%,Zigoitia,72.3
2022,Employment rate,Female,,,,Zigoitia,%,Zigoitia,73.2
2010,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,61.9
2016,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,61.2
2020,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,74.6
2022,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,80.0
2023,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,84.0
2019,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,72.1
2015,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,68.6
2018,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,67.9
2021,Employment rate,Female,,,,Ziortza-Bolibar,%,Ziortza-Bolibar,78.2
2018,Employment rate,Female,,,,Zizurkil,%,Zizurkil,67.2
2019,Employment rate,Female,,,,Zizurkil,%,Zizurkil,68.5
2021,Employment rate,Female,,,,Zizurkil,%,Zizurkil,70.5
2010,Employment rate,Female,,,,Zizurkil,%,Zizurkil,57.6
2022,Employment rate,Female,,,,Zizurkil,%,Zizurkil,74.6
2023,Employment rate,Female,,,,Zizurkil,%,Zizurkil,78.4
2016,Employment rate,Female,,,,Zizurkil,%,Zizurkil,63.8
2015,Employment rate,Female,,,,Zizurkil,%,Zizurkil,62.3
2020,Employment rate,Female,,,,Zizurkil,%,Zizurkil,67.5
2015,Employment rate,Female,,,,Zuia,%,Zuia,71.8
2021,Employment rate,Female,,,,Zuia,%,Zuia,74.4
2020,Employment rate,Female,,,,Zuia,%,Zuia,75.5
2018,Employment rate,Female,,,,Zuia,%,Zuia,73.1
2016,Employment rate,Female,,,,Zuia,%,Zuia,71.4
2023,Employment rate,Female,,,,Zuia,%,Zuia,73.9
2010,Employment rate,Female,,,,Zuia,%,Zuia,69.7
2019,Employment rate,Female,,,,Zuia,%,Zuia,72.8
2022,Employment rate,Female,,,,Zuia,%,Zuia,75.7
2021,Employment rate,Female,,,,Zumaia,%,Zumaia,70.5
2020,Employment rate,Female,,,,Zumaia,%,Zumaia,70.7
2019,Employment rate,Female,,,,Zumaia,%,Zumaia,69.3
2018,Employment rate,Female,,,,Zumaia,%,Zumaia,66.4
2022,Employment rate,Female,,,,Zumaia,%,Zumaia,73.5
2015,Employment rate,Female,,,,Zumaia,%,Zumaia,62.3
2016,Employment rate,Female,,,,Zumaia,%,Zumaia,61.3
2023,Employment rate,Female,,,,Zumaia,%,Zumaia,75.0
2010,Employment rate,Female,,,,Zumaia,%,Zumaia,60.1
2021,Employment rate,Female,,,,Zumarraga,%,Zumarraga,66.2
2016,Employment rate,Female,,,,Zumarraga,%,Zumarraga,59.8
2023,Employment rate,Female,,,,Zumarraga,%,Zumarraga,71.2
2019,Employment rate,Female,,,,Zumarraga,%,Zumarraga,64.7
2022,Employment rate,Female,,,,Zumarraga,%,Zumarraga,68.1
2020,Employment rate,Female,,,,Zumarraga,%,Zumarraga,67.8
2018,Employment rate,Female,,,,Zumarraga,%,Zumarraga,63.7
2015,Employment rate,Female,,,,Zumarraga,%,Zumarraga,61.3
2010,Employment rate,Female,,,,Zumarraga,%,Zumarraga,57.2
2023,Employment rate,Female,,,Añana (county),,%,Añana (county),68.3
2019,Employment rate,Female,,,Añana (county),,%,Añana (county),62.9
2015,Employment rate,Female,,,Añana (county),,%,Añana (county),63.2
2022,Employment rate,Female,,,Añana (county),,%,Añana (county),68.3
2020,Employment rate,Female,,,Añana (county),,%,Añana (county),66.0
2010,Employment rate,Female,,,Añana (county),,%,Añana (county),61.0
2016,Employment rate,Female,,,Añana (county),,%,Añana (county),60.9
2018,Employment rate,Female,,,Añana (county),,%,Añana (county),60.8
2021,Employment rate,Female,,,Añana (county),,%,Añana (county),64.4
2023,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,65.9
2010,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,54.3
2020,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,59.1
2021,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,60.9
2018,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,59.2
2019,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,58.9
2016,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,56.0
2022,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,63.9
2015,Employment rate,Female,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,57.9
2010,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,58.0
2023,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,70.3
2022,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,69.1
2018,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,63.2
2020,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,65.7
2016,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,59.8
2015,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,60.2
2021,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,66.0
2019,Employment rate,Female,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,64.7
2015,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,65.6
2018,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,66.9
2023,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,71.5
2019,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,68.2
2020,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,69.0
2016,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,64.7
2010,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,62.3
2022,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,70.4
2021,Employment rate,Female,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,68.1
2010,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,63.2
2021,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,73.1
2018,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,72.1
2022,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,74.2
2023,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,74.6
2015,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,69.6
2020,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,73.6
2016,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,70.9
2019,Employment rate,Female,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,73.3
2020,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.6
2010,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,61.9
2019,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.2
2023,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,71.4
2018,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,66.4
2016,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,64.8
2022,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,69.5
2021,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,67.4
2015,Employment rate,Female,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,65.2
2015,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,62.0
2019,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,65.6
2020,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,66.7
2010,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,59.2
2016,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,61.2
2018,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,64.5
2022,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,68.9
2023,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,71.1
2021,Employment rate,Female,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,66.7
2022,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,67.7
2016,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,60.9
2015,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,61.1
2021,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,65.7
2020,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,66.2
2018,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,63.4
2023,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,70.3
2010,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,57.8
2019,Employment rate,Female,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,65.0
2015,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,62.4
2010,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,59.9
2022,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,69.3
2020,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,67.3
2016,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,62.0
2018,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,66.1
2023,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,71.6
2019,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,67.0
2021,Employment rate,Female,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,67.3
2021,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,70.6
2016,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,66.1
2018,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,69.3
2023,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,74.0
2015,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,66.7
2010,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,64.5
2019,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,70.3
2022,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,73.1
2020,Employment rate,Female,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,70.7
2023,Employment rate,Female,,,Donostialdea,,%,Donostialdea,75.3
2010,Employment rate,Female,,,Donostialdea,,%,Donostialdea,62.7
2016,Employment rate,Female,,,Donostialdea,,%,Donostialdea,66.2
2019,Employment rate,Female,,,Donostialdea,,%,Donostialdea,70.6
2018,Employment rate,Female,,,Donostialdea,,%,Donostialdea,69.3
2022,Employment rate,Female,,,Donostialdea,,%,Donostialdea,72.9
2020,Employment rate,Female,,,Donostialdea,,%,Donostialdea,71.3
2021,Employment rate,Female,,,Donostialdea,,%,Donostialdea,70.5
2015,Employment rate,Female,,,Donostialdea,,%,Donostialdea,66.5
2019,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,67.6
2021,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,68.3
2020,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,68.5
2016,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,63.4
2015,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,62.9
2018,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,66.1
2023,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,73.0
2022,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,70.4
2010,Employment rate,Female,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,58.9
2020,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,62.5
2022,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,65.5
2023,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,68.2
2010,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,56.8
2015,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,58.2
2018,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,60.1
2021,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,63.3
2019,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,61.3
2016,Employment rate,Female,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,57.1
2010,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,60.4
2015,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,63.2
2016,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,63.6
2019,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,66.7
2018,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,66.0
2020,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,67.5
2023,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,72.3
2021,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,67.6
2022,Employment rate,Female,,,Gernika-Bermeo,,%,Gernika-Bermeo,70.1
