Year,Series,Profession,Sex,Province,Units,Value
2018,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",24.7
2016,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",23.9
2020,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",25.3
2013,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",22.4
2015,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",23.3
2012,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",21.9
2014,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",22.9
2010,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",21.3
2019,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",24.9
2017,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",24.4
2011,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",21.7
2021,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",25.7
2023,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",26.1
2022,Density and distribution of health care workers.,Pharmacist,Female,,"Per 10,000 inhabitants",26.3
2011,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",22.1
2015,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",23.2
2021,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",25.4
2010,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",21.2
2013,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",22.8
2023,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",27.0
2020,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",25.4
2012,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",22.5
2017,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",24.1
2014,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",23.4
2016,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",23.8
2022,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",27.4
2019,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",24.7
2018,Density and distribution of health care workers.,Pharmacist,Female,Araba/Álava,"Per 10,000 inhabitants",24.3
2013,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",22.5
2019,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",24.8
2014,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",22.9
2016,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",24.2
2023,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",25.4
2020,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",24.9
2022,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",25.8
2018,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",24.8
2015,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",23.5
2017,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",24.4
2010,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",21.9
2011,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",22.1
2012,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",22.1
2021,Density and distribution of health care workers.,Pharmacist,Female,Bizkaia,"Per 10,000 inhabitants",25.4
2011,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",20.8
2012,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",21.4
2020,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",25.8
2014,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",22.7
2021,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",26.3
2018,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",24.9
2022,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",26.7
2013,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",21.9
2023,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",26.8
2017,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",24.5
2010,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",20.3
2016,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",23.5
2015,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",23.0
2019,Density and distribution of health care workers.,Pharmacist,Female,Gipuzkoa,"Per 10,000 inhabitants",25.2
2018,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.6
2016,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.3
2013,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.0
2017,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.3
2022,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.7
2020,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.7
2021,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.5
2019,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.5
2015,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.1
2014,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.1
2010,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",5.6
2011,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",5.6
2012,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",5.9
2023,Density and distribution of health care workers.,Pharmacist,Male,,"Per 10,000 inhabitants",6.7
2022,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.8
2021,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",7.2
2013,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.5
2017,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",7.2
2019,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",7.4
2014,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.4
2018,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",7.4
2011,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.0
2010,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.3
2023,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.8
2016,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",7.4
2015,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.9
2020,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",7.4
2012,Density and distribution of health care workers.,Pharmacist,Male,Araba/Álava,"Per 10,000 inhabitants",6.4
2017,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2021,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.7
2013,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.0
2018,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.6
2012,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",5.8
2016,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.4
2020,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.6
2014,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.1
2010,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",5.5
2019,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2023,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",7.0
2022,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.7
2011,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",5.5
2015,Density and distribution of health care workers.,Pharmacist,Male,Bizkaia,"Per 10,000 inhabitants",6.3
2017,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.6
2012,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.7
2010,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.3
2013,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.7
2019,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.1
2011,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.4
2015,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.6
2023,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.3
2014,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.9
2018,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.2
2022,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.6
2021,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.8
2020,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.4
2016,Density and distribution of health care workers.,Pharmacist,Male,Gipuzkoa,"Per 10,000 inhabitants",5.8
