Year,Series,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2010,Tasa de ocupación,Hombre,,,,Lantarón,%,Lantarón,65.2
2018,Tasa de ocupación,Hombre,,,,Lantarón,%,Lantarón,69.7
2015,Tasa de ocupación,Hombre,,,,Lantarón,%,Lantarón,65.8
2019,Tasa de ocupación,Hombre,,,,Lantarón,%,Lantarón,69.9
2020,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,70.0
2018,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,74.2
2021,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,75.8
2023,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,75.4
2022,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,71.2
2016,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,70.1
2010,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,67.6
2019,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,76.1
2015,Tasa de ocupación,Hombre,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,68.2
2018,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,78.8
2019,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,80.0
2015,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,76.6
2021,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,75.0
2010,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,77.2
2023,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,80.6
2022,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,76.6
2020,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,77.1
2016,Tasa de ocupación,Hombre,,,,Larrabetzu,%,Larrabetzu,77.4
2016,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,80.7
2019,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,79.5
2015,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,81.0
2018,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,82.6
2021,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,77.7
2022,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,75.5
2023,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,83.1
2010,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,90.1
2020,Tasa de ocupación,Hombre,,,,Larraul,%,Larraul,81.1
2022,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,78.7
2010,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,73.4
2021,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,76.2
2019,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,76.5
2018,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,75.4
2020,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,76.6
2016,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,71.5
2015,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,71.6
2023,Tasa de ocupación,Hombre,,,,Lasarte-Oria,%,Lasarte-Oria,79.6
2022,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,76.2
2019,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,74.1
2021,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,73.1
2010,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,72.4
2020,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,74.1
2023,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,76.8
2018,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,73.5
2015,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,70.4
2016,Tasa de ocupación,Hombre,,,,Laudio/Llodio,%,Laudio/Llodio,71.3
2020,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,71.9
2023,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,79.1
2018,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,73.1
2015,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,72.1
2022,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,77.3
2010,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,75.5
2019,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,73.2
2016,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,74.3
2021,Tasa de ocupación,Hombre,,,,Laukiz,%,Laukiz,74.6
2020,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,80.8
2023,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,83.0
2016,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,78.9
2018,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,81.8
2021,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,80.5
2019,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,81.4
2015,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,77.2
2022,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,82.2
2010,Tasa de ocupación,Hombre,,,,Lazkao,%,Lazkao,76.7
2022,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,76.6
2018,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,79.3
2020,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,81.0
2015,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,80.4
2023,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,80.8
2021,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,81.3
2016,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,74.6
2010,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,76.2
2019,Tasa de ocupación,Hombre,,,,Leaburu,%,Leaburu,76.5
2010,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,72.4
2022,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,79.3
2019,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,79.1
2015,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,74.0
2023,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,81.4
2020,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,78.9
2018,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,78.2
2016,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,74.8
2021,Tasa de ocupación,Hombre,,,,Legazpi,%,Legazpi,77.0
2019,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,77.2
2021,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,76.6
2020,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,77.4
2010,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,73.5
2015,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,73.9
2023,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,79.4
2016,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,75.6
2022,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,79.9
2018,Tasa de ocupación,Hombre,,,,Legorreta,%,Legorreta,76.5
2010,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,76.7
2016,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,74.6
2021,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,76.5
2023,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,79.8
2019,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,78.0
2015,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,75.3
2022,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,78.3
2018,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,81.5
2020,Tasa de ocupación,Hombre,,,,Legutio,%,Legutio,79.6
2015,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,74.5
2020,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,83.7
2010,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,80.4
2021,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,75.9
2022,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,77.6
2016,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,76.6
2018,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,80.7
2023,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,80.2
2019,Tasa de ocupación,Hombre,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,83.7
2022,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,75.6
2010,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,70.2
2023,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,78.2
2016,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,72.0
2020,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,75.3
2019,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,75.5
2018,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,73.8
2021,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,74.5
2015,Tasa de ocupación,Hombre,,,,Leioa,%,Leioa,70.7
2022,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,70.1
2021,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,67.2
2015,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,65.5
2019,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,67.0
2020,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,67.8
2016,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,64.1
2018,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,65.7
2010,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,67.5
2023,Tasa de ocupación,Hombre,,,,Lekeitio,%,Lekeitio,73.4
2015,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,73.5
2022,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,77.6
2010,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,75.8
2018,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,77.4
2019,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,76.0
2016,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,74.8
2021,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,76.8
2023,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,80.0
2020,Tasa de ocupación,Hombre,,,,Lemoa,%,Lemoa,76.6
2019,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,80.0
2018,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,77.4
2022,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,75.6
2010,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,73.6
2021,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,72.3
2016,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,74.1
2023,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,76.5
2020,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,79.0
2015,Tasa de ocupación,Hombre,,,,Lemoiz,%,Lemoiz,73.5
2016,Tasa de ocupación,Hombre,,,,Leza,%,Leza,80.9
2015,Tasa de ocupación,Hombre,,,,Leza,%,Leza,78.4
2023,Tasa de ocupación,Hombre,,,,Leza,%,Leza,84.9
2010,Tasa de ocupación,Hombre,,,,Leza,%,Leza,75.3
2020,Tasa de ocupación,Hombre,,,,Leza,%,Leza,69.9
2019,Tasa de ocupación,Hombre,,,,Leza,%,Leza,77.3
2021,Tasa de ocupación,Hombre,,,,Leza,%,Leza,71.8
2022,Tasa de ocupación,Hombre,,,,Leza,%,Leza,76.0
2018,Tasa de ocupación,Hombre,,,,Leza,%,Leza,76.6
2015,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,75.9
2020,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,78.0
2023,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,82.4
2010,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,75.0
2022,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,79.4
2018,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,77.1
2019,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,75.8
2016,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,77.5
2021,Tasa de ocupación,Hombre,,,,Lezama,%,Lezama,76.0
2010,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,75.5
2019,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,76.8
2021,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,77.8
2020,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,78.3
2018,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,75.9
2022,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,79.2
2023,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,80.9
2016,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,72.7
2015,Tasa de ocupación,Hombre,,,,Lezo,%,Lezo,70.9
2015,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,67.8
2016,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,72.2
2010,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,71.1
2021,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,74.6
2020,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,76.7
2019,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,72.2
2018,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,70.3
2022,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,72.1
2023,Tasa de ocupación,Hombre,,,,Lizartza,%,Lizartza,71.7
2018,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,76.4
2019,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,76.9
2020,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,78.5
2022,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,78.3
2015,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,76.1
2023,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,82.1
2016,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,76.1
2021,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,76.3
2010,Tasa de ocupación,Hombre,,,,Loiu,%,Loiu,75.5
2020,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,79.7
2023,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,83.1
2010,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,77.0
2022,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,79.4
2021,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,78.0
2015,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,72.7
2019,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,77.5
2018,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,78.1
2016,Tasa de ocupación,Hombre,,,,Mallabia,%,Mallabia,71.8
2016,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,75.4
2019,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,82.9
2018,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,74.9
2020,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,87.2
2015,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,72.6
2023,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,88.1
2010,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,70.6
2021,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,82.7
2022,Tasa de ocupación,Hombre,,,,Mañaria,%,Mañaria,85.0
2020,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,72.7
2018,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,76.1
2019,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,73.3
2015,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,68.2
2022,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,73.4
2016,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,71.3
2021,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,71.5
2010,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,69.3
2023,Tasa de ocupación,Hombre,,,,Markina-Xemein,%,Markina-Xemein,76.4
2018,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,75.5
2022,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,75.6
2023,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,80.2
2021,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,75.1
2020,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,76.9
2015,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,78.3
2019,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,74.2
2010,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,76.1
2016,Tasa de ocupación,Hombre,,,,Maruri-Jatabe,%,Maruri-Jatabe,79.5
2018,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,81.8
2019,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,80.7
2010,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,80.2
2022,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,81.3
2015,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,78.0
2021,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,80.9
2023,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,80.7
2020,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,80.9
2016,Tasa de ocupación,Hombre,,,,Mendaro,%,Mendaro,80.3
2016,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,80.7
2015,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,80.2
2018,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,81.1
2023,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,85.3
2021,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,78.4
2022,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,80.5
2019,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,80.5
2020,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,82.1
2010,Tasa de ocupación,Hombre,,,,Mendata,%,Mendata,70.8
2021,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,78.7
2023,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,75.5
2010,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,71.5
2020,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,74.0
2016,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,67.7
2019,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,72.3
2018,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,77.5
2022,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,83.2
2015,Tasa de ocupación,Hombre,,,,Mendexa,%,Mendexa,68.1
2010,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,76.2
2019,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,80.3
2023,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,83.7
2021,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,80.0
2018,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,75.9
2015,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,69.1
2020,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,80.8
2016,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,73.8
2022,Tasa de ocupación,Hombre,,,,Meñaka,%,Meñaka,78.3
2010,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,63.5
2021,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,78.1
2020,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,76.2
2022,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,76.0
2019,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,70.9
2018,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,68.4
2015,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,62.1
2016,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,55.9
2023,Tasa de ocupación,Hombre,,,,Moreda de Álava/Moreda Araba,%,Moreda de Álava/Moreda Araba,71.4
2020,Tasa de ocupación,Hombre,,,,Morga,%,Morga,80.2
2010,Tasa de ocupación,Hombre,,,,Morga,%,Morga,78.8
2022,Tasa de ocupación,Hombre,,,,Morga,%,Morga,79.1
2019,Tasa de ocupación,Hombre,,,,Morga,%,Morga,81.0
2015,Tasa de ocupación,Hombre,,,,Morga,%,Morga,74.5
2018,Tasa de ocupación,Hombre,,,,Morga,%,Morga,78.7
2016,Tasa de ocupación,Hombre,,,,Morga,%,Morga,74.3
2023,Tasa de ocupación,Hombre,,,,Morga,%,Morga,81.5
2021,Tasa de ocupación,Hombre,,,,Morga,%,Morga,76.3
2019,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,71.0
2021,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,71.3
2018,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,69.1
2010,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,68.1
2023,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,71.5
2020,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,71.7
2016,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,67.0
2022,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,69.6
2015,Tasa de ocupación,Hombre,,,,Mundaka,%,Mundaka,66.3
2020,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,75.8
2016,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,71.8
2023,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,77.1
2018,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,74.4
2019,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,75.6
2010,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,73.0
2015,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,72.5
2021,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,73.7
2022,Tasa de ocupación,Hombre,,,,Mungia,%,Mungia,74.8
2023,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,63.9
2010,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,78.5
2021,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,61.6
2020,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,66.9
2015,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,58.0
2018,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,63.4
2022,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,62.2
2016,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,60.7
2019,Tasa de ocupación,Hombre,,,,Munitibar-Arbatzegi Gerrikaitz,%,Munitibar-Arbatzegi Gerrikaitz,66.7
2016,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,78.9
2010,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,82.8
2015,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,82.1
2019,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,76.5
2020,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,73.3
2018,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,83.2
2023,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,75.7
2021,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,71.0
2022,Tasa de ocupación,Hombre,,,,Murueta,%,Murueta,71.7
2015,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,68.8
2016,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,70.3
2020,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,73.5
2010,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,73.4
2018,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,73.8
2023,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,77.3
2019,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,74.2
2021,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,72.3
2022,Tasa de ocupación,Hombre,,,,Muskiz,%,Muskiz,75.4
2010,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,81.0
2023,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,84.3
2015,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,75.0
2018,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,88.8
2019,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,87.5
2020,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,84.8
2022,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,87.8
2021,Tasa de ocupación,Hombre,,,,Mutiloa,%,Mutiloa,87.0
