Year,Series,Institution,Province,Units,Value
2013,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Araba/Álava,Ratio,1.37
2017,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Araba/Álava,Ratio,1.32
2012,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.45
2021,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.38
2022,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.38
2020,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.43
2023,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.57
2018,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.35
2016,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.4
2019,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.37
2014,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.44
2015,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.36
2010,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.39
2011,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.4
2013,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.43
2017,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Bizkaia,Ratio,1.39
2011,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.5
2018,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.31
2021,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.43
2016,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.42
2014,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.37
2017,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.4
2012,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.5
2019,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.41
2010,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.61
2013,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.37
2015,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.46
2023,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.43
2020,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.32
2022,Proportion of women in public administration relative to the proportion of women in the population,State Justice Administration,Gipuzkoa,Ratio,1.45
2021,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.22
2013,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.2
2011,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.18
2015,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.21
2019,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.24
2022,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.24
2018,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.24
2020,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.21
2016,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.21
2012,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.19
2014,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.21
2017,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.17
2010,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.16
2023,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,,Ratio,0.25
2011,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.18
2019,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.24
2010,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.14
2023,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.23
2021,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.2
2017,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.19
2015,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.19
2013,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.2
2020,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.2
2012,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.2
2016,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.19
2018,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.25
2014,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.2
2022,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Araba/Álava,Ratio,0.21
2013,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.18
2019,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.23
2011,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.16
2022,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.23
2020,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.2
2023,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.24
2016,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.19
2021,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.21
2018,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.22
2014,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.18
2015,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.19
2012,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.18
2010,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.15
2017,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Bizkaia,Ratio,0.18
2013,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.22
2020,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.24
2023,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.28
2022,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.27
2021,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.25
2019,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.27
2014,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.23
2010,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.17
2011,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.2
2018,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.26
2017,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.24
2012,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.21
2016,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.24
2015,Proportion of women in public administration relative to the proportion of women in the population,State Security Forces and Corps,Gipuzkoa,Ratio,0.24
2014,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.21
2020,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.19
2010,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.27
2011,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.23
2022,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.19
2016,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.19
2017,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.21
2023,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.2
2015,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.19
2013,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.21
2012,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.22
2021,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.2
2018,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.2
2019,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,,Ratio,0.19
2021,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.31
2020,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.28
2012,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.27
2017,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.28
2015,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.21
2018,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.27
2023,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.33
2022,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.3
2019,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.27
2016,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.23
2010,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.32
2011,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.29
2013,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.26
2014,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Araba/Álava,Ratio,0.26
2021,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.16
2012,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.22
2013,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.22
2016,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.18
2015,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.19
2010,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.24
2011,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.21
2022,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.16
2019,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.16
2014,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.2
2023,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.16
2020,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.17
2018,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.16
2017,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Bizkaia,Ratio,0.18
2022,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.15
2021,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.15
2016,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.17
2017,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.18
2014,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.15
2012,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.16
2013,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.15
2010,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.23
2015,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.16
2020,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.15
2018,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.19
2019,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.17
2011,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.18
2023,Proportion of women in public administration relative to the proportion of women in the population,Armed Forces,Gipuzkoa,Ratio,0.15
2014,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.23
2010,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.15
2023,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.22
2021,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.23
2022,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.2
2018,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.21
2013,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.23
2015,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.24
2017,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.22
2020,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.24
2011,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.22
2019,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.23
2012,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.17
2016,Proportion of women in the judiciary relative to the proportion of women in the population,,,Ratio,1.2
